MW Power (W),Working Pressure (mbar),Gas Flowrate Ratio (%C2H2)
0.0,0.75,1.0
0.37671232876712324,0.5,0.962962962962963
0.0,0.5,0.8333333333333333
0.37671232876712324,0.0,0.0
1.0,0.0,0.6296296296296295
1.0,0.5,0.9444444444444444
0.0,0.5,0.4814814814814814
0.37671232876712324,1.0,0.5
0.0,0.75,1.0
0.37671232876712324,0.5,0.962962962962963
0.37671232876712324,0.0,0.0
1.0,0.0,0.6296296296296295
1.0,0.5,0.03703703703703698
1.0,0.5,0.9444444444444444
0.0,1.0,0.05555555555555558
0.0,0.5,0.4814814814814814
0.37671232876712324,1.0,0.5
